transaction_id,wallet_id,merchant_id,amount_cents,currency,status,decline_reason,payment_method,created_at
tx_00015773,w_001269,m_0094,3932,EUR,authorized,,card,2025-12-19 19:47:54
tx_00021470,w_001745,m_0207,1641,EUR,reversed,,card,2025-08-04 02:13:41
tx_00022187,w_001802,m_0194,8828,EUR,authorized,,sdd,2025-12-12 17:06:50
tx_00052218,w_004260,m_0043,3718,EUR,authorized,,card,2025-08-28 23:14:35
tx_00064705,w_005270,m_0001,8789,EUR,authorized,,card,2025-08-19 02:39:36
tx_00059942,w_004889,m_0072,4089,EUR,authorized,,card,2025-11-06 21:07:26
tx_00013294,w_001072,m_0031,4724,EUR,authorized,,sdd,2025-12-08 00:40:29
tx_00014146,w_001143,m_0191,7521,EUR,authorized,,sdd,2025-09-08 11:09:36
tx_00010601,w_000864,m_0316,2280,EUR,authorized,,sdd,2025-06-11 17:02:24
tx_00065929,w_005379,m_0131,3628,EUR,authorized,,sdd,2025-07-08 18:29:21
tx_00065914,w_005376,m_0069,1810,EUR,authorized,,card,2025-10-27 01:48:31
tx_00021615,w_001758,m_0078,65769,EUR,authorized,,sdd,2025-12-03 05:37:45
tx_00053808,w_004393,m_0024,4118,EUR,authorized,,card,2025-10-18 11:19:28
tx_00054906,w_004486,m_0086,12687,EUR,authorized,,sdd,2025-09-27 05:38:34
tx_00065849,w_005370,m_0095,5317,EUR,authorized,,card,2025-06-23 23:33:10
tx_00002280,w_000205,m_0035,2824,EUR,authorized,,card,2025-04-21 18:05:34
tx_00020469,w_001669,m_0193,8398,EUR,authorized,,sdd,2025-11-24 00:52:03
tx_00063949,w_005212,m_0215,10789,EUR,authorized,,sdd,2025-07-15 04:42:03
tx_00010035,w_000812,m_0249,4877,EUR,authorized,,card,2025-11-06 22:36:53
tx_00032504,w_002648,m_0266,5064,EUR,authorized,,sdd,2025-08-14 13:18:59
tx_00059905,w_004888,m_0022,1042,EUR,refunded,,card,2025-10-28 04:24:28
tx_00034950,w_002834,m_0206,5224,EUR,authorized,,sdd,2025-07-20 10:51:34
tx_00071390,w_005805,m_0277,10475,EUR,authorized,,sdd,2025-12-23 05:41:18
tx_00041828,w_003369,m_0263,3595,EUR,authorized,,sdd,2025-12-23 15:35:41
tx_00048325,w_003924,m_0078,65597,EUR,authorized,,sdd,2025-11-18 22:54:19
tx_00038206,w_003089,m_0100,13611,EUR,authorized,,card,2025-06-07 22:29:32
tx_00017501,w_001414,m_0162,13059,EUR,authorized,,card,2025-11-22 04:12:07
tx_00039522,w_003185,m_0113,5998,EUR,authorized,,sdd,2025-12-23 07:13:57
tx_00008953,w_000721,m_0203,977,EUR,authorized,,sdd,2025-12-10 00:00:47
tx_00048742,w_003962,m_0178,3938,EUR,declined,,sdd,2025-10-31 23:03:00
tx_00007053,w_000569,m_0072,2275,EUR,declined,insufficient_funds,sdd,2025-07-16 05:32:04
tx_00040607,w_003259,m_0116,7312,EUR,authorized,,card,2025-05-07 05:58:15
tx_00032101,w_002616,m_0243,5145,EUR,authorized,,sdd,2025-10-16 08:16:08
tx_00061892,w_005043,m_0315,4104,EUR,authorized,,sdd,2025-10-12 17:31:18
tx_00021052,w_001713,m_0003,1428,EUR,authorized,,card,2025-12-18 22:36:43
tx_00000919,w_000077,m_0208,8888,EUR,authorized,,card,2025-12-06 18:42:11
tx_00004894,w_000398,m_0292,3212,EUR,authorized,,card,2025-08-13 17:22:43
tx_00034342,w_002787,m_0057,16749,EUR,authorized,,sdd,2025-08-05 23:51:20
tx_00001563,w_000142,m_0027,9370,EUR,authorized,,card,2025-11-04 22:45:38
tx_00037108,w_002996,m_0228,3265,EUR,authorized,,sdd,2025-09-14 17:26:33
tx_00054677,w_004466,m_0103,10658,EUR,declined,,card,2025-07-01 11:47:08
tx_00045340,w_003666,m_0265,2411,EUR,authorized,,card,2025-12-21 02:03:28
tx_00062671,w_005102,m_0050,8430,EUR,authorized,,sdd,2025-12-30 22:28:18
tx_00023406,w_001893,m_0268,4959,EUR,authorized,,sdd,2025-06-24 02:58:47
tx_00069306,w_005647,m_0306,8548,EUR,authorized,,sdd,2025-12-16 14:24:56
tx_00016067,w_001292,m_0312,9826,EUR,authorized,,sdd,2025-11-21 09:40:44
tx_00002365,w_000213,m_0145,22663,EUR,refunded,,card,2025-09-06 17:46:34
tx_00008789,w_000702,m_0300,8061,EUR,authorized,,sdd,2025-03-07 19:37:34
tx_00047739,w_003873,m_0076,6222,EUR,authorized,,sdd,2025-12-12 21:42:56
tx_00001619,w_000150,m_0150,3210,EUR,authorized,,sdd,2025-12-27 01:22:32
tx_00005948,w_000483,m_0218,6386,EUR,authorized,,sdd,2025-12-20 12:33:58
tx_00009455,w_000768,m_0213,1044,EUR,authorized,,card,2025-09-03 11:48:59
tx_00045236,w_003660,m_0150,5146,EUR,authorized,,sdd,2025-12-03 20:01:41
tx_00033444,w_002715,m_0150,6322,EUR,authorized,,sdd,2025-12-26 01:43:54
tx_00012074,w_000982,m_0163,10672,EUR,authorized,,sdd,2025-09-02 03:56:06
tx_00008499,w_000677,m_0249,1573,EUR,authorized,,sdd,2025-06-22 04:19:32
tx_00049489,w_004026,m_0284,16851,EUR,declined,insufficient_funds,card,2025-05-18 15:52:29
tx_00057567,w_004705,m_0319,59598,EUR,authorized,,sdd,2025-11-20 16:54:40
tx_00059636,w_004867,m_0167,27787,EUR,authorized,,sdd,2025-06-07 02:28:45
tx_00047959,w_003894,m_0167,29087,EUR,declined,technical_error,card,2025-10-30 19:43:56
tx_00058702,w_004787,m_0318,5083,EUR,authorized,,sdd,2025-02-11 20:58:22
tx_00020711,w_001687,m_0278,3001,EUR,authorized,,card,2025-08-17 23:08:24
tx_00017873,w_001448,m_0272,25688,EUR,authorized,,sdd,2025-08-31 18:28:16
tx_00057463,w_004698,m_0020,30108,EUR,authorized,,card,2025-11-30 16:57:16
tx_00043410,w_003501,m_0070,3460,EUR,authorized,,sdd,2025-12-22 22:34:54
tx_00031847,w_002597,m_0305,502,EUR,authorized,,sdd,2025-07-20 00:30:30
tx_00050190,w_004087,m_0075,4014,EUR,declined,card_expired,sdd,2025-10-19 17:45:35
tx_00009015,w_000725,m_0154,5054,EUR,authorized,,sdd,2025-10-18 02:09:30
tx_00037532,w_003039,m_0009,3703,EUR,authorized,,card,2025-08-12 15:19:47
tx_00068387,w_005571,m_0028,6663,EUR,refunded,,sdd,2025-11-11 22:11:22
tx_00036232,w_002930,m_0282,5442,EUR,authorized,,card,2025-09-19 09:22:19
tx_00024054,w_001959,m_0163,12428,EUR,authorized,,sdd,2025-12-26 20:09:31
tx_00045255,w_003662,m_0140,13901,EUR,authorized,,sdd,2025-10-09 23:34:35
tx_00026852,w_002196,m_0080,2283,EUR,authorized,,sdd,2025-08-04 09:05:14
tx_00054983,w_004490,m_0256,3087,EUR,authorized,,card,2025-10-02 04:23:51
tx_00021372,w_001739,m_0061,6386,EUR,authorized,,sdd,2025-12-28 01:14:42
tx_00049988,w_004072,m_0128,2178,EUR,authorized,,sdd,2025-12-09 03:33:06
tx_00051872,w_004216,m_0129,2808,EUR,authorized,,card,2025-08-22 14:37:18
tx_00013008,w_001051,m_0053,14024,EUR,authorized,,sdd,2025-12-03 09:31:48
tx_00066531,w_005425,m_0147,15157,EUR,authorized,,sdd,2025-12-12 15:03:31
tx_00046884,w_003801,m_0010,10312,EUR,authorized,,card,2025-07-09 21:06:21
tx_00043451,w_003506,m_0087,2037,EUR,authorized,,sdd,2025-07-25 17:28:32
tx_00073213,w_005942,m_0161,5658,EUR,authorized,,card,2025-12-30 21:46:48
tx_00014584,w_001177,m_0279,5070,EUR,authorized,,sdd,2025-10-03 05:35:35
tx_00028797,w_002343,m_0155,9420,EUR,declined,issuer_limit_exceeded,sdd,2025-12-17 02:29:04
tx_00055031,w_004494,m_0193,4228,EUR,authorized,,sdd,2025-11-18 21:53:09
tx_00001651,w_000152,m_0001,8196,EUR,authorized,,card,2025-12-23 20:21:14
tx_00053146,w_004330,m_0118,42235,EUR,authorized,,sdd,2025-06-01 19:51:11
tx_00028282,w_002302,m_0143,8223,EUR,authorized,,card,2025-10-23 23:07:18
tx_00065481,w_005341,m_0215,13033,EUR,refunded,,sdd,2025-08-23 00:47:38
tx_00052145,w_004251,m_0234,4586,EUR,authorized,,card,2025-12-14 10:35:59
tx_00066510,w_005425,m_0016,10180,EUR,authorized,,sdd,2025-10-10 16:05:58
tx_00020519,w_001672,m_0304,10978,EUR,authorized,,sdd,2025-12-01 20:34:32
tx_00022330,w_001816,m_0268,5515,EUR,authorized,,card,2025-12-04 22:36:34
tx_00041552,w_003345,m_0004,2054,EUR,authorized,,sdd,2025-07-11 03:22:39
tx_00058044,w_004743,m_0202,3345,EUR,authorized,,sdd,2025-09-04 15:18:03
tx_00063128,w_005133,m_0031,3231,EUR,authorized,,sdd,2025-09-27 23:04:56
tx_00039703,w_003196,m_0288,2980,EUR,authorized,,card,2025-12-22 23:38:51
tx_00044770,w_003614,m_0139,2182,EUR,authorized,,sdd,2025-06-17 15:25:11
tx_00073153,w_005938,m_0072,1255,EUR,authorized,,card,2025-09-13 22:42:40
tx_00064571,w_005259,m_0173,6212,EUR,reversed,,sdd,2025-11-25 17:14:44
tx_00026166,w_002139,m_0237,39902,EUR,authorized,,sdd,2025-10-11 17:22:10
tx_00041901,w_003373,m_0281,4950,EUR,authorized,,sdd,2025-12-11 22:00:56
tx_00070399,w_005734,m_0016,4492,EUR,authorized,,sdd,2025-09-11 02:15:47
tx_00045628,w_003696,m_0152,3305,EUR,authorized,,card,2025-12-23 19:03:18
tx_00050874,w_004140,m_0304,10425,EUR,refunded,,card,2025-12-09 11:51:51
tx_00067547,w_005509,m_0002,1485,EUR,authorized,,sdd,2025-11-05 18:28:07
tx_00028706,w_002336,m_0117,1942,EUR,authorized,,card,2025-05-24 17:43:42
tx_00037068,w_002993,m_0282,9735,EUR,authorized,,sdd,2025-09-26 19:55:07
tx_00020426,w_001666,m_0271,8031,EUR,authorized,,card,2025-05-11 20:24:32
tx_00067835,w_005530,m_0073,751,EUR,authorized,,sdd,2025-12-02 01:51:28
tx_00014078,w_001137,m_0096,12807,EUR,authorized,,card,2025-04-11 20:09:56
tx_00058004,w_004738,m_0229,974,EUR,authorized,,card,2025-12-17 04:53:11
tx_00057159,w_004670,m_0286,71827,EUR,authorized,,card,2025-11-03 20:29:16
tx_00051280,w_004171,m_0129,4368,EUR,declined,,sdd,2025-02-07 13:35:27
tx_00064396,w_005246,m_0197,6274,EUR,authorized,,card,2025-10-22 14:22:06
tx_00066909,w_005463,m_0196,3610,EUR,authorized,,card,2025-12-18 02:40:49
tx_00071203,w_005790,m_0238,5353,EUR,authorized,,sdd,2025-03-15 12:22:17
tx_00059192,w_004828,m_0076,2496,EUR,authorized,,sdd,2025-11-27 00:42:15
tx_00054047,w_004411,m_0051,4833,EUR,authorized,,card,2025-12-02 04:55:36
tx_00023909,w_001947,m_0256,816,EUR,authorized,,sdd,2025-08-13 02:58:00
tx_00023667,w_001924,m_0247,3158,EUR,authorized,,card,2025-12-01 01:00:56
tx_00041147,w_003311,m_0071,5723,EUR,authorized,,card,2025-08-13 12:14:11
tx_00039929,w_003210,m_0313,12209,EUR,authorized,,card,2025-10-27 12:32:10
tx_00051259,w_004170,m_0158,1941,EUR,declined,insufficient_funds,card,2025-08-19 20:19:46
tx_00017734,w_001436,m_0085,21637,EUR,declined,issuer_limit_exceeded,card,2025-10-23 17:56:47
tx_00013692,w_001105,m_0281,5795,EUR,authorized,,sdd,2025-12-25 13:14:49
tx_00015464,w_001247,m_0068,16584,EUR,authorized,,sdd,2025-11-26 06:38:43
tx_00009589,w_000776,m_0040,4111,EUR,authorized,,card,2025-11-15 21:04:55
tx_00023902,w_001947,m_0064,17710,EUR,authorized,,sdd,2025-05-31 23:09:54
tx_00028491,w_002321,m_0047,6504,EUR,declined,insufficient_funds,sdd,2025-09-26 13:07:13
tx_00000971,w_000083,m_0021,2525,EUR,declined,,sdd,2025-09-18 02:51:09
tx_00033174,w_002695,m_0264,4665,EUR,authorized,,card,2025-12-18 02:14:54
tx_00020809,w_001695,m_0163,5075,EUR,authorized,,card,2025-12-27 21:43:06
tx_00027870,w_002271,m_0136,21827,EUR,authorized,,sdd,2025-11-28 04:51:43
tx_00015668,w_001262,m_0219,16849,EUR,authorized,,card,2025-10-11 21:00:25
tx_00000262,w_000019,m_0088,17732,EUR,declined,,sdd,2025-11-22 22:18:04
tx_00055386,w_004526,m_0102,8542,EUR,authorized,,sdd,2025-09-10 16:26:01
tx_00033793,w_002740,m_0131,6667,EUR,authorized,,sdd,2025-06-06 13:35:20
tx_00047531,w_003858,m_0188,17614,EUR,authorized,,sdd,2025-11-21 00:34:57
tx_00039477,w_003184,m_0025,1365,EUR,authorized,,sdd,2025-06-21 11:49:25
tx_00007257,w_000583,m_0194,8922,EUR,authorized,,sdd,2025-10-15 12:55:08
tx_00024093,w_001963,m_0151,3448,EUR,authorized,,card,2025-01-09 04:24:57
tx_00021479,w_001745,m_0104,7490,EUR,authorized,,card,2025-05-26 01:40:49
tx_00016775,w_001359,m_0229,2194,EUR,authorized,,card,2025-01-13 05:54:18
tx_00024231,w_001976,m_0281,9061,EUR,authorized,,card,2025-08-12 08:20:53
tx_00008314,w_000665,m_0160,10670,EUR,declined,technical_error,card,2025-08-19 14:21:59
tx_00021832,w_001773,m_0251,29851,EUR,authorized,,sdd,2025-06-04 10:16:18
tx_00020898,w_001700,m_0185,8176,EUR,authorized,,sdd,2025-10-05 00:32:21
tx_00066919,w_005463,m_0250,5205,EUR,authorized,,card,2025-12-27 03:23:23
tx_00004241,w_000353,m_0044,7306,EUR,declined,,sdd,2025-12-19 03:14:47
tx_00056454,w_004608,m_0009,1968,EUR,authorized,,card,2025-10-23 20:25:16
tx_00014020,w_001129,m_0136,14391,EUR,authorized,,sdd,2025-09-23 01:01:18
tx_00019324,w_001575,m_0045,3943,EUR,authorized,,card,2025-07-30 15:13:23
tx_00063854,w_005199,m_0231,3084,EUR,authorized,,sdd,2025-05-01 05:09:36
tx_00053067,w_004322,m_0149,2461,EUR,authorized,,sdd,2025-12-27 06:58:52
tx_00021894,w_001777,m_0005,9512,EUR,authorized,,sdd,2025-07-06 13:44:38
tx_00050799,w_004135,m_0303,8177,EUR,authorized,,card,2025-07-06 13:14:59
tx_00028469,w_002318,m_0265,4886,EUR,authorized,,card,2025-12-27 05:52:27
tx_00052901,w_004310,m_0201,5390,EUR,authorized,,card,2025-11-30 22:35:32
tx_00048250,w_003917,m_0141,1397,EUR,authorized,,card,2025-05-09 15:34:20
tx_00037435,w_003031,m_0250,7839,EUR,authorized,,sdd,2025-07-14 09:46:51
tx_00010160,w_000827,m_0193,10937,EUR,authorized,,sdd,2025-05-13 12:58:20
tx_00017348,w_001403,m_0143,2592,EUR,declined,issuer_limit_exceeded,sdd,2025-12-28 20:06:18
tx_00021178,w_001722,m_0224,5998,EUR,authorized,,card,2025-09-26 01:20:08
tx_00021859,w_001775,m_0238,5581,EUR,authorized,,card,2025-12-14 03:05:52
tx_00060188,w_004908,m_0198,16053,EUR,authorized,,card,2025-11-28 18:26:40
tx_00052547,w_004288,m_0156,12815,EUR,authorized,,sdd,2025-12-30 09:06:14
tx_00022052,w_001789,m_0064,12483,EUR,authorized,,card,2025-08-23 00:19:46
tx_00037907,w_003066,m_0201,13479,EUR,authorized,,sdd,2025-09-29 14:46:37
tx_00067701,w_005519,m_0101,7030,EUR,authorized,,card,2025-10-18 12:23:16
tx_00066733,w_005444,m_0201,12362,EUR,authorized,,card,2025-11-23 02:00:07
tx_00023583,w_001914,m_0149,7053,EUR,authorized,,card,2025-12-11 01:07:48
tx_00073870,w_005998,m_0094,5701,EUR,declined,do_not_honor,sdd,2025-11-12 05:38:51
tx_00050145,w_004084,m_0249,1305,EUR,authorized,,card,2025-08-25 02:30:09
tx_00042865,w_003454,m_0245,3958,EUR,authorized,,sdd,2025-11-21 11:54:28
tx_00060625,w_004946,m_0109,6396,EUR,declined,insufficient_funds,sdd,2025-10-07 03:18:09
tx_00040076,w_003222,m_0227,10204,EUR,authorized,,sdd,2025-12-29 23:19:54
tx_00050698,w_004124,m_0182,2896,EUR,authorized,,sdd,2025-12-02 00:00:58
tx_00018113,w_001468,m_0113,2657,EUR,declined,issuer_limit_exceeded,sdd,2025-07-18 20:07:04
tx_00024772,w_002020,m_0055,29951,EUR,refunded,,sdd,2025-09-28 09:44:34
tx_00020925,w_001703,m_0102,5669,EUR,authorized,,card,2025-10-27 09:50:35
tx_00042721,w_003442,m_0166,2888,EUR,authorized,,card,2025-11-18 09:55:51
tx_00020454,w_001668,m_0281,4225,EUR,authorized,,sdd,2025-06-12 22:32:01
tx_00030665,w_002490,m_0135,5851,EUR,authorized,,sdd,2025-12-25 23:48:34
tx_00063575,w_005169,m_0151,3256,EUR,authorized,,sdd,2025-12-29 08:27:05
tx_00047523,w_003858,m_0087,3583,EUR,authorized,,sdd,2025-10-24 12:01:26
tx_00029648,w_002414,m_0005,11712,EUR,authorized,,card,2025-07-18 20:44:49
tx_00069849,w_005691,m_0104,1576,EUR,authorized,,sdd,2025-07-02 17:13:03
tx_00067324,w_005494,m_0171,1975,EUR,authorized,,card,2025-12-06 20:41:54
tx_00070061,w_005704,m_0226,26482,EUR,authorized,,card,2025-12-30 02:04:27
tx_00035894,w_002907,m_0230,2557,EUR,authorized,,card,2025-09-04 19:56:52
tx_00024141,w_001969,m_0173,2713,EUR,authorized,,sdd,2025-04-20 04:11:55
tx_00054446,w_004448,m_0257,1719,EUR,declined,insufficient_funds,card,2025-12-29 10:29:27
tx_00005351,w_000432,m_0170,7017,EUR,authorized,,card,2025-10-17 01:27:37
tx_00022418,w_001821,m_0223,7973,EUR,authorized,,card,2025-10-07 07:29:59
tx_00062997,w_005124,m_0043,3972,EUR,declined,card_expired,sdd,2025-06-28 09:10:35
tx_00010941,w_000891,m_0129,6487,EUR,authorized,,sdd,2025-12-26 08:07:17
tx_00040582,w_003257,m_0102,5803,EUR,authorized,,card,2025-09-28 07:03:52
tx_00020352,w_001660,m_0105,6129,EUR,authorized,,card,2025-12-26 11:15:29
tx_00049500,w_004027,m_0087,3668,EUR,authorized,,card,2025-09-29 07:58:28
tx_00061640,w_005024,m_0278,16012,EUR,authorized,,card,2025-08-06 17:56:18
tx_00026599,w_002181,m_0103,15333,EUR,authorized,,sdd,2025-11-03 10:40:00
tx_00030892,w_002508,m_0243,4244,EUR,authorized,,card,2025-12-29 04:48:22
tx_00060961,w_004973,m_0108,8058,EUR,authorized,,card,2025-04-25 09:15:31
tx_00037329,w_003016,m_0098,7473,EUR,authorized,,card,2025-03-18 06:17:33
tx_00057764,w_004720,m_0120,1720,EUR,authorized,,sdd,2025-11-01 06:44:25
tx_00072099,w_005858,m_0168,5227,EUR,authorized,,card,2025-08-19 05:02:19
tx_00037255,w_003011,m_0209,3462,EUR,authorized,,card,2025-12-27 02:47:20
tx_00044161,w_003563,m_0207,6891,EUR,declined,issuer_limit_exceeded,sdd,2025-11-27 19:02:08
tx_00028853,w_002347,m_0035,5855,EUR,authorized,,sdd,2025-07-28 19:35:30
tx_00066431,w_005419,m_0296,3675,EUR,authorized,,card,2025-10-24 21:14:30
tx_00016040,w_001291,m_0229,2481,EUR,authorized,,card,2025-08-14 01:44:25
tx_00042571,w_003426,m_0081,2144,EUR,authorized,,card,2025-07-19 11:24:33
tx_00060699,w_004953,m_0003,5148,EUR,authorized,,card,2025-06-18 18:10:30
tx_00004229,w_000352,m_0197,8863,EUR,authorized,,card,2025-12-28 00:47:32
tx_00053038,w_004319,m_0310,6404,EUR,refunded,,card,2025-11-28 12:13:57
tx_00006987,w_000564,m_0117,3958,EUR,reversed,,card,2025-10-26 04:46:38
tx_00065817,w_005368,m_0275,1379,EUR,authorized,,card,2025-09-10 12:49:28
tx_00065429,w_005337,m_0205,3665,EUR,authorized,,sdd,2025-12-05 21:38:33
tx_00067718,w_005521,m_0280,68395,EUR,authorized,,card,2025-12-11 21:37:07
tx_00003772,w_000315,m_0274,9202,EUR,authorized,,sdd,2025-09-20 21:46:15
tx_00063947,w_005212,m_0171,1878,EUR,declined,insufficient_funds,sdd,2025-05-17 21:25:13
tx_00024158,w_001970,m_0243,3024,EUR,authorized,,card,2025-05-30 12:16:21
tx_00032686,w_002661,m_0179,23839,EUR,authorized,,card,2025-12-22 06:44:35
tx_00062496,w_005088,m_0008,6603,EUR,authorized,,card,2025-12-03 03:28:34
tx_00067308,w_005492,m_0105,5274,EUR,authorized,,card,2025-10-31 19:58:43
tx_00031377,w_002556,m_0025,9596,EUR,authorized,,sdd,2025-12-26 19:56:14
tx_00064645,w_005266,m_0088,86789,EUR,authorized,,card,2025-05-18 14:50:42
tx_00008075,w_000647,m_0025,15806,EUR,authorized,,sdd,2025-09-30 00:36:44
tx_00001468,w_000135,m_0007,5742,EUR,reversed,,sdd,2025-12-14 19:24:36
tx_00032519,w_002649,m_0251,29897,EUR,authorized,,card,2025-12-31 04:08:25
tx_00002695,w_000238,m_0238,1304,EUR,authorized,,card,2025-11-02 07:07:06
tx_00071718,w_005827,m_0242,4390,EUR,authorized,,card,2025-12-16 07:25:34
tx_00062116,w_005060,m_0028,12408,EUR,authorized,,card,2025-07-17 04:11:06
tx_00019341,w_001577,m_0050,13429,EUR,authorized,,sdd,2025-08-14 08:01:34
tx_00071980,w_005849,m_0128,9643,EUR,refunded,,sdd,2025-10-06 01:21:36
tx_00070408,w_005734,m_0025,9762,EUR,refunded,,sdd,2025-08-24 01:14:12
tx_00012417,w_001007,m_0087,4152,EUR,authorized,,sdd,2025-10-09 04:28:50
tx_00008890,w_000713,m_0102,4157,EUR,authorized,,sdd,2025-10-23 05:46:42
tx_00010856,w_000882,m_0163,4284,EUR,authorized,,card,2025-12-01 21:34:20
tx_00023210,w_001879,m_0281,6066,EUR,authorized,,card,2025-12-15 21:44:48
tx_00022290,w_001813,m_0049,1392,EUR,authorized,,sdd,2025-11-24 10:56:13
tx_00056295,w_004594,m_0110,4283,EUR,declined,,sdd,2025-12-29 13:58:01
tx_00024737,w_002015,m_0065,6207,EUR,authorized,,card,2025-12-28 05:41:25
tx_00059397,w_004844,m_0120,1460,EUR,authorized,,card,2025-10-20 21:00:28
tx_00066955,w_005465,m_0003,6664,EUR,authorized,,card,2025-09-20 14:09:57
tx_00026681,w_002185,m_0058,5613,EUR,authorized,,sdd,2025-06-21 10:45:03
tx_00057350,w_004688,m_0042,17060,EUR,authorized,,card,2025-12-17 00:56:32
tx_00013828,w_001116,m_0129,10449,EUR,authorized,,sdd,2025-10-26 07:18:10
tx_00027600,w_002250,m_0308,7665,EUR,authorized,,sdd,2025-09-09 12:23:48
tx_00043032,w_003469,m_0174,2179,EUR,authorized,,sdd,2025-08-29 00:32:45
tx_00022932,w_001857,m_0069,3997,EUR,authorized,,card,2025-08-29 19:12:33
tx_00004312,w_000355,m_0164,2393,EUR,authorized,,card,2025-07-17 06:00:14
tx_00029179,w_002376,m_0112,2672,EUR,authorized,,sdd,2025-10-03 02:12:08
tx_00048286,w_003919,m_0118,52221,EUR,authorized,,sdd,2025-06-04 13:23:56
tx_00021731,w_001763,m_0080,7030,EUR,authorized,,sdd,2025-10-10 12:21:25
tx_00059756,w_004875,m_0229,813,EUR,authorized,,sdd,2025-03-10 01:50:47
tx_00046744,w_003787,m_0013,10102,EUR,authorized,,sdd,2025-08-24 01:38:50
tx_00037315,w_003016,m_0092,78176,EUR,authorized,,card,2025-08-13 17:49:56
tx_00020768,w_001691,m_0131,8535,EUR,authorized,,sdd,2025-12-09 15:26:56
tx_00008249,w_000660,m_0149,2379,EUR,refunded,,card,2025-12-18 22:47:06
tx_00000247,w_000019,m_0030,10818,EUR,authorized,,sdd,2025-09-29 16:27:12
tx_00041577,w_003347,m_0129,17226,EUR,declined,issuer_limit_exceeded,card,2025-10-14 02:26:09
tx_00064472,w_005252,m_0006,4018,EUR,authorized,,sdd,2025-10-03 16:10:59
tx_00024255,w_001978,m_0179,27779,EUR,authorized,,card,2025-12-23 20:56:27
tx_00021098,w_001718,m_0289,2585,EUR,authorized,,card,2025-12-23 04:10:19
tx_00068495,w_005582,m_0275,1670,EUR,authorized,,card,2025-12-11 23:24:21
tx_00040395,w_003244,m_0066,3572,EUR,authorized,,card,2025-07-22 16:27:57
tx_00024985,w_002041,m_0161,3298,EUR,declined,,card,2025-06-24 20:54:41
tx_00059656,w_004868,m_0262,81804,EUR,authorized,,card,2025-05-26 20:42:28
tx_00036284,w_002932,m_0162,2790,EUR,authorized,,sdd,2025-06-15 12:40:27
tx_00070102,w_005706,m_0241,3483,EUR,authorized,,sdd,2025-12-12 00:39:54
tx_00042171,w_003395,m_0236,1943,EUR,authorized,,card,2025-08-03 14:35:51
tx_00070026,w_005703,m_0195,10211,EUR,authorized,,sdd,2025-12-08 03:23:44
